"","iso3c","date","value","indicatorID","indicator","iso2c","country","economy","oecs","caricom","lat","long","income","region"
"31","BHS","2007",1528000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"32","BHS","2006",1601000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"33","BHS","2005",1608000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"34","BHS","2004",1561000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"35","BHS","2003",1510000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"36","BHS","2002",1513000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"37","BHS","2001",1538000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"38","BHS","2000",1544000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The","Service Based","Non-OECS Member State","CARICOM Member State","25.0661","-77.339","High income","Latin America & Caribbean "
"39","BRB","2018",680000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"40","BRB","2017",664000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"41","BRB","2016",632000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"42","BRB","2015",592000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"43","BRB","2014",521000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"44","BRB","2013",509000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"45","BRB","2012",536000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"46","BRB","2011",568000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"47","BRB","2010",532000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"48","BRB","2009",519000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"49","BRB","2008",568000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"50","BRB","2007",575000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"51","BRB","2006",563000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"52","BRB","2005",548000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"53","BRB","2004",552000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"54","BRB","2003",531000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"55","BRB","2002",498000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"56","BRB","2001",507000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"57","BRB","2000",545000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados","Service Based","Non-OECS Member State","CARICOM Member State","13.0935","-59.6105","High income","Latin America & Caribbean "
"58","BLZ","2018",489000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"59","BLZ","2017",427000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"60","BLZ","2016",386000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"61","BLZ","2015",341000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"62","BLZ","2014",321000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"63","BLZ","2013",294000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"64","BLZ","2012",277000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"65","BLZ","2011",250000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"66","BLZ","2010",242000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"67","BLZ","2009",232000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"68","BLZ","2008",245000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"69","BLZ","2007",251000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"70","BLZ","2006",247000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"71","BLZ","2005",237000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"72","BLZ","2004",231000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"73","BLZ","2003",221000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"74","BLZ","2002",2e+05,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"75","BLZ","2001",196000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"76","BLZ","2000",196000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize","Service Based","Non-OECS Member State","CARICOM Member State","17.2534","-88.7713","Upper middle income","Latin America & Caribbean "
"77","DMA","2018",63000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"78","DMA","2017",72000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"79","DMA","2016",78000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"80","DMA","2015",75000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"81","DMA","2014",81500,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"82","DMA","2013",78000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"83","DMA","2012",79000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"84","DMA","2011",76000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"85","DMA","2010",77000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"86","DMA","2009",75000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"87","DMA","2008",81000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"88","DMA","2007",81000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"89","DMA","2006",84000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"90","DMA","2005",79000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"91","DMA","2004",80000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"92","DMA","2003",73000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"93","DMA","2002",69000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"94","DMA","2001",66000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"95","DMA","2000",70000,"ST.INT.ARVL","International tourism, number of arrivals","DM","Dominica","Service Based","OECS Member State","CARICOM Member State","15.2976","-61.39","Upper middle income","Latin America & Caribbean "
"96","GRD","2018",185000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"97","GRD","2017",168000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"98","GRD","2016",156000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"99","GRD","2015",155000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"100","GRD","2014",150000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"101","GRD","2013",128000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"102","GRD","2012",125000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"103","GRD","2011",118000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"104","GRD","2010",110000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"105","GRD","2009",114000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"106","GRD","2008",130000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"107","GRD","2007",130000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"108","GRD","2006",119000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"109","GRD","2005",99000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"110","GRD","2004",134000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"111","GRD","2003",142000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"112","GRD","2002",132000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"113","GRD","2001",123000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"114","GRD","2000",129000,"ST.INT.ARVL","International tourism, number of arrivals","GD","Grenada","Service Based","OECS Member State","CARICOM Member State","12.0653","-61.7449","Upper middle income","Latin America & Caribbean "
"115","GUY","2018",287000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"116","GUY","2017",247000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"117","GUY","2016",235000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"118","GUY","2015",207000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"119","GUY","2014",206000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"120","GUY","2013",2e+05,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"121","GUY","2012",177000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"122","GUY","2011",157000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"123","GUY","2010",152000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"124","GUY","2009",141000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"125","GUY","2008",130000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"126","GUY","2007",134000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"127","GUY","2006",113000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"128","GUY","2005",117000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"129","GUY","2004",122000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"130","GUY","2003",101000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"131","GUY","2002",104000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"132","GUY","2001",99000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"133","GUY","2000",105000,"ST.INT.ARVL","International tourism, number of arrivals","GY","Guyana","Commodity Based","Non-OECS Member State","CARICOM Member State","6.80461","-58.1548","Upper middle income","Latin America & Caribbean "
"134","HTI","2018",447000,"ST.INT.ARVL","International tourism, number of arrivals","HT","Haiti","Service Based","Non-OECS Member State","CARICOM Member State","18.5392","-72.3288","Low income","Latin America & Caribbean "
"135","HTI","2017",467000,"ST.INT.ARVL","International tourism, number of arrivals","HT","Haiti","Service Based","Non-OECS Member State","CARICOM Member State","18.5392","-72.3288","Low income","Latin America & Caribbean "
"136","HTI","2016",445000,"ST.INT.ARVL","International tourism, number of arrivals","HT","Haiti","Service Based","Non-OECS Member State","CARICOM Member State","18.5392","-72.3288","Low income","Latin America & Caribbean "
"137","HTI","2015",516000,"ST.INT.ARVL","International tourism, number of arrivals","HT","Haiti","Service Based","Non-OECS Member State","CARICOM Member State","18.5392","-72.3288","Low income","Latin America & Caribbean "
"138","HTI","2014",465200,"ST.INT.ARVL","International tourism, number of arrivals","HT","Haiti","Service Based","Non-OECS Member State","CARICOM Member State","18.5392","-72.3288","Low income","Latin America & Caribbean "
"139","HTI","2013",420000,"ST.INT.ARVL","International tourism, number of arrivals","HT","Haiti","Service Based","Non-OECS Member State","CARICOM Member State","18.5392","-72.3288","Low income","Latin America & Caribbean "
"140","HTI","2012",349000,"ST.INT.ARVL","International tourism, number of arrivals","HT","Haiti","Service Based","Non-OECS Member State","CARICOM Member State","18.5392","-72.3288","Low income","Latin America & Caribbean "
"141","HTI","2011",349000,"ST.INT.ARVL","International tourism, number of arrivals","HT","Haiti","Service Based","Non-OECS Member State","CARICOM Member State","18.5392","-72.3288","Low income","Latin America & Caribbean "
"142","HTI","2010",255000,"ST.INT.ARVL","International tourism, number of arrivals","HT","Haiti","Service Based","Non-OECS Member State","CARICOM Member State","18.5392","-72.3288","Low income","Latin America & Caribbean "
